"API Name","Chitosan Mass Fraction (%)","Alginate Mass Fraction (%)","Surfactant Mass Fraction (%)","Crosslinker Mass Fraction (%)","Total Solid Concentration (mg/mL)","Particle Size (nm)","Zeta Potential (mV)","Encapsulation Efficiency (%)","Effective SLogP","Effective TPSA","Effective AMW","Effective NumRotBonds","Effective NumHBD","Effective NumHBA","Effective NumAromaticRings","Effective NumSaturatedRings","Effective NumAliphaticRings","Effective MolMR","Effective FractionCSP3","Effective NumHeteroatoms","Total API Mass Fraction (%)","Emulsion_Solvent_Evaporation","Contains_Surfactant","Surfactant_HLB","Surfactant_MW","Crosslinker_Cationic_Valency","Crosslinker_Anic_Valency","Crosslinker_Cationic_Charge_Density","Crosslinker_Anic_Charge_Density","Contains_Crosslinker","Chitosan_DDA_Pct","Chitosan_MW_Grade_Encoded","Stirring_Speed_RPM","Temperature_C","Sonication_Time_min","pH_Standardized"
"Curcumin diglutaric acid",0.03413979106447869,0.2731183285158295,99.00539408698819,0.23215057923845506,7.575344827586207,226,-28.5,67.8,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0,154.01839999999976,0.25806451612903225,12,0.45519721419304915,1,1,22,12600,2,0,0.018021265092809515,0,1,84.3,1,1000,25,15,4.6
"Curcumin diglutaric acid",0.10234948938976961,0.2729319717060523,98.93783974344396,0.23199217595014443,7.58051724137931,390,-19.2,39.2,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0,154.01839999999976,0.25806451612903225,12,0.45488661951008713,1,1,22,12600,2,0,0.018021265092809515,0,1,84.3,1,1000,25,15,4.6
"Curcumin diglutaric acid",0.0335292934260232,0.2682343474081856,97.2349509354673,0.22799919529695778,7.713275862068966,316,-28.5,31.2,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0,154.01839999999976,0.25806451612903225,12,2.235286228401547,1,1,22,12600,2,0,0.018021265092809515,0,1,84.3,1,1000,25,15,4.6
"Curcumin diglutaric acid",0.10052047266960039,0.26805459378560104,97.16979024728037,0.22784640471776085,7.718448275862068,536,-18.4,28.2,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0,154.01839999999976,0.25806451612903225,12,2.2337882815466754,1,1,22,12600,2,0,0.018021265092809515,0,1,84.3,1,1000,25,15,4.6
"Curcumin diglutaric acid",0.05027315078593692,0.4021852062874954,97.19475818614471,0.3418574253443711,5.144310344827586,212,-29.2,66.8,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0,154.01839999999976,0.25806451612903225,12,2.010926031437477,1,1,22,12600,2,0,0.018021265092809515,0,1,84.3,1,1000,25,15,4.6
"Curcumin diglutaric acid",0.15066796129507487,0.40178123012019956,97.09713061238158,0.3415140456021697,5.149482758620689,356,-19.7,43.1,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0,154.01839999999976,0.25806451612903225,12,2.008906150600998,1,1,22,12600,2,0,0.018021265092809515,0,1,84.3,1,1000,25,15,4.6
"Curcumin diglutaric acid",0.025494161836939342,0.20395329469551474,98.57742576949879,0.17336030049118753,10.144310344827586,326,-28.8,42.2,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0,154.01839999999976,0.25806451612903225,12,1.0197664734775735,1,1,22,12600,2,0,0.018021265092809515,0,1,84.3,1,1000,25,15,4.6
"Curcumin diglutaric acid",0.07644350824740517,0.20384935532641377,98.52718840776666,0.17327195202745171,10.149482758620689,552,-17.2,31.6,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0,154.01839999999976,0.25806451612903225,12,1.019246776632069,1,1,22,12600,2,0,0.018021265092809515,0,1,84.3,1,1000,25,15,4.6
"Curcumin diglutaric acid",0.10186065462447372,0.40744261849789487,98.4652994703246,0.34632622572321065,5.077931034482758,257,-25.6,75.7,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0,154.01839999999976,0.25806451612903225,12,0.6790710308298248,1,1,22,12600,2,0,0.018021265092809515,0,1,84.3,1,1000,25,15,4.6
"Curcumin diglutaric acid",0.09916699722332409,0.39666798889329635,95.86143064921329,0.3371677905593019,5.215862068965517,345,-22.1,55.7,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0,154.01839999999976,0.25806451612903225,12,3.3055665741108027,1,1,22,12600,2,0,0.018021265092809515,0,1,84.3,1,1000,25,15,4.6
"Curcumin diglutaric acid",0.05132416341613632,0.20529665366454528,99.22671593786355,0.17450215561486349,10.077931034482758,372,-21.5,58.7,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0,154.01839999999976,0.25806451612903225,12,0.3421610894409088,1,1,22,12600,2,0,0.018021265092809515,0,1,84.3,1,1000,25,15,4.6
"Curcumin diglutaric acid",0.050631202322284484,0.20252480928913794,97.88699115641667,0.17214608789576724,10.215862068965517,518,-23.5,28.3,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0,154.01839999999976,0.25806451612903225,12,1.6877067440761493,1,1,22,12600,2,0,0.018021265092809515,0,1,84.3,1,1000,25,15,4.6
"Curcumin diglutaric acid",0.06764069264069264,0.27056277056277056,98.07900432900433,0.229978354978355,7.646896551724137,335,-26.4,75.7,4.762000000000004,182.95999999999998,596.5850000000004,17,3,10,2,0,0,154.01839999999976,0.25806451612903225,12,1.3528138528138527,1,1,22,12600,2,0,0.018021265092809515,0,1,84.3,1,1000,25,15,4.6
